Stage of Escalation,Priority,APT,Calls from Customer,TSLR,Number of Info to SAP from last TSLR,Frequent changes in processor,Number of Processors,Customer call back request,Business Impact mentioned?,Core Business affected?,Go live Affected?,Num of users affected,Work around available?
2.two_days_b4_BI,Very high ,0.2,0,0,0,3,3,No,Yes,Yes,Yes,,No
3.BI_is_communicated,High,0.2,0,0,0,3,3,No,Yes,Yes,Yes,,No
4.Seven_days_b4_escalation,High,0.2,0,0,0,3,3,No,Yes,Yes,Yes,,No
5.two_days_b4_escalation,High,1,0,1,1,3,3,No,Yes,Yes,Yes,,No
6.message_escalated,High,1.7,0,1,1,5,4,No,Yes,Yes,Yes,,No
1.message_created,Medium,0,0,0,0,1,1,No,Yes,No,,,No
2.two_days_b4_BI,High,8,0,2,0,1,1,No,Yes,No,,,No
3.BI_is_communicated,High,10,0,4,1,1,1,No,Yes,No,,,No
4.Seven_days_b4_escalation,High,10,0,4,1,1,1,No,Yes,No,,,No
5.two_days_b4_escalation,High,10,0,4,1,1,1,No,Yes,No,,,No
6.message_escalated,High,10,0,4,1,1,1,No,Yes,No,,,No
1.message_created,Medium,0,0,0,0,0,0,Yes,Yes,Yes,,,No
2.two_days_b4_BI,Medium,13.3,0,6,0,0,0,Yes,Yes,Yes,,,No
3.BI_is_communicated,High,15.3,1,4,0,0,0,Yes,Yes,Yes,,,No
4.Seven_days_b4_escalation,High,17.3,4,2,0,0,0,Yes,Yes,Yes,,,No
5.two_days_b4_escalation,High,17.3,4,2,0,0,0,Yes,Yes,Yes,,,No
6.message_escalated,High,19.3,6,0,2,1,1,Yes,Yes,Yes,,,No
1.message_created,Medium,0,1,0,0,1,1,No,Yes,No,No,20,No
2.two_days_b4_BI,Medium,41.12,1,31,1,1,1,No,Yes,No,No,20,No
3.BI_is_communicated,Medium,43.12,2,33,2,1,1,No,Yes,No,No,20,No
4.Seven_days_b4_escalation,High,49.12,3,50,2,1,1,No,Yes,No,No,20,No
5.two_days_b4_escalation,High,54.12,4,55,2,1,1,No,Yes,No,No,20,No
6.message_escalated,High,56.12,4,57,2,1,1,No,Yes,No,No,20,No
1.message_created,Medium,0,0,0,0,1,1,No,Yes,Yes,,20,
2.two_days_b4_BI,Medium,18,0,42,1,1,1,No,Yes,Yes,,20,
3.BI_is_communicated,High,20,1,0,1,1,1,No,Yes,Yes,,20,
4.Seven_days_b4_escalation,High,20,1,0,1,1,1,No,Yes,Yes,,20,
5.two_days_b4_escalation,High,20,1,0,1,1,1,No,Yes,Yes,,20,
6.message_escalated,High,22,1,1,2,1,1,No,Yes,Yes,,20,
1.message_created,High,0,1,0,0,0,0,No,Yes,Yes,No,20,Yes
2.two_days_b4_BI,High,0,1,0,0,0,0,No,Yes,Yes,No,20,Yes
3.BI_is_communicated,High,0,1,0,0,0,0,No,Yes,Yes,No,20,Yes
4.Seven_days_b4_escalation,High,3.96,7,3.54,9,1,1,No,Yes,Yes,No,20,Yes
5.two_days_b4_escalation,High,6.1,15,0.18,9,2,1,No,Yes,Yes,No,20,Yes
